                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.1167,                 2.0103,                 1.1851,                0.33142,                  0.125,                0.25873,                0.12812,                 2.1399,                  4.634,                 2.4504,              0.0002278,              0.0002278,              0.0002278
                     80,                 1.0763,                 1.9785,                 1.2458,                0.33142,                  0.125,                0.25873,                0.12812,                 2.1399,                  4.634,                 2.4504,              0.0002179,              0.0002179,              0.0002179
                     81,                 1.1462,                 2.5909,                 1.3115,                   0.75,                0.12013,                0.28402,                0.14827,                 2.1741,                 4.4407,                 2.3935,               0.000208,               0.000208,               0.000208
                     82,                 1.0185,                 1.7393,                 1.1695,                   0.75,                0.12013,                0.28402,                0.14827,                 2.1741,                 4.4407,                 2.3935,              0.0001981,              0.0001981,              0.0001981
                     83,                0.98607,                 2.0206,                 1.1765,                   0.75,                0.12013,                0.28402,                0.14827,                 2.1741,                 4.4407,                 2.3935,              0.0001882,              0.0001882,              0.0001882
                     84,                 1.1268,                 2.2949,                  1.265,                   0.75,                0.12124,                0.40394,                 0.2135,                 2.3033,                 4.5063,                 2.4833,              0.0001783,              0.0001783,              0.0001783
                     85,                0.94939,                 1.8663,                 1.1602,                   0.75,                0.12124,                0.40394,                 0.2135,                 2.3033,                 4.5063,                 2.4833,              0.0001684,              0.0001684,              0.0001684
                     86,                 1.0197,                 2.2182,                 1.1239,                   0.75,                0.11778,                0.40839,                0.21351,                 2.2026,                 4.5887,                 2.3584,              0.0001585,              0.0001585,              0.0001585
                     87,                 1.0085,                 2.1523,                 1.2195,                   0.75,                0.11778,                0.40839,                0.21351,                 2.2026,                 4.5887,                 2.3584,              0.0001486,              0.0001486,              0.0001486
                     88,                0.98741,                 1.9224,                 1.2199,                0.70879,                  0.125,                0.40049,                0.21353,                 2.2035,                 4.5465,                 2.3656,              0.0001387,              0.0001387,              0.0001387
                     89,                 1.0576,                 2.1566,                 1.2388,                0.70879,                  0.125,                0.40049,                0.21353,                 2.2035,                 4.5465,                 2.3656,              0.0001288,              0.0001288,              0.0001288
                     90,                0.90131,                 1.9121,                 1.0769,                0.74176,                  0.125,                0.23808,                0.11539,                 2.1498,                 4.5336,                 2.2688,              0.0001189,              0.0001189,              0.0001189
                     91,                 1.0048,                 2.2289,                 1.1423,                0.74176,                  0.125,                0.23808,                0.11539,                 2.1498,                 4.5336,                 2.2688,               0.000109,               0.000109,               0.000109
                     92,                0.94557,                 2.2344,                 1.1544,                0.74176,                  0.125,                0.23808,                0.11539,                 2.1498,                 4.5336,                 2.2688,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.91052,                 2.2471,                 1.1319,                0.61745,                  0.125,                0.15605,                0.08324,                  2.039,                 4.6985,                 2.1688,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.91139,                 2.2763,                 1.1409,                0.61745,                  0.125,                0.15605,                0.08324,                  2.039,                 4.6985,                 2.1688,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.84529,                 2.0896,                 1.1364,                0.62009,                  0.125,                 0.1369,                  0.074,                 2.1138,                  4.988,                 2.1762,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.88799,                 2.0679,                 1.1842,                0.62009,                  0.125,                 0.1369,                  0.074,                 2.1138,                  4.988,                 2.1762,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.93049,                 2.1396,                 1.1692,                0.59707,                  0.125,                0.15924,                 0.0849,                 2.0878,                 5.0759,                 2.1618,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.83083,                 2.1213,                 1.1261,                0.59707,                  0.125,                0.15924,                 0.0849,                 2.0878,                 5.0759,                 2.1618,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                 1.0215,                 2.2501,                 1.2609,                0.59707,                  0.125,                0.15924,                 0.0849,                 2.0878,                 5.0759,                 2.1618,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.90109,                 2.2729,                 1.1704,                0.59743,                  0.125,                0.17373,                0.09526,                 2.1024,                 5.1111,                 2.2247,               1.99e-05,               1.99e-05,               1.99e-05
