                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.4102,                 2.6536,                 1.2819,                0.63727,                0.06667,                0.07972,                0.02123,                 2.4689,                  5.565,                  1.981,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.1713,                  2.695,                 1.2279,                0.57003,                0.06667,                0.07488,                0.01778,                  2.322,                 5.3699,                 1.9195,              0.0005248,              0.0005248,              0.0005248
                     50,                 1.2891,                 2.2327,                 1.2581,                0.57003,                0.06667,                0.07488,                0.01778,                  2.322,                 5.3699,                 1.9195,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.3052,                 2.8927,                 1.2941,                0.57003,                0.06667,                0.07488,                0.01778,                  2.322,                 5.3699,                 1.9195,               0.000505,               0.000505,               0.000505
                     52,                 1.2377,                 2.6134,                  1.261,                0.63402,                0.06667,                0.07137,                0.02465,                 2.2458,                 5.0371,                 1.9765,              0.0004951,              0.0004951,              0.0004951
                     53,                 1.1793,                 2.2464,                 1.1869,                0.63402,                0.06667,                0.07137,                0.02465,                 2.2458,                 5.0371,                 1.9765,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.2722,                 2.6429,                 1.3532,                 0.6255,                0.06667,                0.07297,                0.02487,                 2.2718,                 5.0229,                 2.0252,              0.0004753,              0.0004753,              0.0004753
                     55,                 1.3145,                 2.5446,                 1.2811,                 0.6255,                0.06667,                0.07297,                0.02487,                 2.2718,                 5.0229,                 2.0252,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.0638,                 2.5227,                 1.2129,                0.64286,                0.06667,                0.07903,                0.02421,                 2.2905,                 5.0801,                  2.022,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.0969,                 2.3026,                 1.1491,                0.64286,                0.06667,                0.07903,                0.02421,                 2.2905,                 5.0801,                  2.022,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.2698,                 2.8297,                 1.2892,                0.48914,                0.03333,                0.03227,                0.01182,                 2.3771,                 5.3943,                 2.0848,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.1949,                 2.4429,                 1.2274,                0.48914,                0.03333,                0.03227,                0.01182,                 2.3771,                 5.3943,                 2.0848,              0.0004258,              0.0004258,              0.0004258
                     60,                 1.1279,                 2.2012,                 1.1653,                0.48914,                0.03333,                0.03227,                0.01182,                 2.3771,                 5.3943,                 2.0848,              0.0004159,              0.0004159,              0.0004159
                     61,                0.88069,                 2.4488,                 1.1249,                0.07521,                0.09414,                0.03919,                0.00937,                 2.4537,                 5.7185,                 2.1261,               0.000406,               0.000406,               0.000406
                     62,                 1.1077,                 2.4196,                 1.1999,                0.07521,                0.09414,                0.03919,                0.00937,                 2.4537,                 5.7185,                 2.1261,              0.0003961,              0.0003961,              0.0003961
                     63,                 1.0569,                 2.1175,                 1.1494,                0.08663,                    0.2,                0.05592,                0.01272,                 2.5335,                 6.2583,                 2.1951,              0.0003862,              0.0003862,              0.0003862
                     64,                 1.1426,                   2.66,                 1.2144,                0.08663,                    0.2,                0.05592,                0.01272,                 2.5335,                 6.2583,                 2.1951,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.1228,                 2.1269,                  1.148,                0.13306,                0.23333,                0.06773,                0.01177,                 2.5819,                 6.7514,                 2.2476,              0.0003664,              0.0003664,              0.0003664
                     66,                 1.4264,                 2.5522,                 1.2597,                0.13306,                0.23333,                0.06773,                0.01177,                 2.5819,                 6.7514,                 2.2476,              0.0003565,              0.0003565,              0.0003565
                     67,                 1.0451,                 2.3404,                 1.2415,                0.13306,                0.23333,                0.06773,                0.01177,                 2.5819,                 6.7514,                 2.2476,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.0344,                 2.2137,                 1.1806,                0.41517,                    0.2,                0.02634,                0.00926,                 2.5585,                 7.2907,                 2.2991,              0.0003367,              0.0003367,              0.0003367
                     69,                  1.161,                 2.4686,                 1.2691,                0.41517,                    0.2,                0.02634,                0.00926,                 2.5585,                 7.2907,                 2.2991,              0.0003268,              0.0003268,              0.0003268
                     70,                 1.1906,                 2.0976,                  1.211,                0.43205,                    0.2,                0.02659,                0.00935,                 2.5279,                  6.625,                 2.2574,              0.0003169,              0.0003169,              0.0003169
                     71,                 1.2038,                 2.5019,                 1.2486,                0.43205,                    0.2,                0.02659,                0.00935,                 2.5279,                  6.625,                 2.2574,               0.000307,               0.000307,               0.000307
                     72,                0.95468,                  2.094,                 1.1047,                0.43042,                    0.2,                0.02849,                 0.0101,                 2.4375,                 6.2438,                  2.225,              0.0002971,              0.0002971,              0.0002971
                     73,                 1.0532,                 2.4296,                 1.1751,                0.43042,                    0.2,                0.02849,                 0.0101,                 2.4375,                 6.2438,                  2.225,              0.0002872,              0.0002872,              0.0002872
                     74,                 1.0796,                 2.0332,                 1.1203,                0.43119,                    0.2,                0.03899,                0.01352,                 2.4025,                 5.6378,                 2.1637,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.0203,                 2.0126,                 1.1153,                0.43119,                    0.2,                0.03899,                0.01352,                 2.4025,                 5.6378,                 2.1637,              0.0002674,              0.0002674,              0.0002674
                     76,                 1.1685,                 2.0784,                 1.0822,                0.43119,                    0.2,                0.03899,                0.01352,                 2.4025,                 5.6378,                 2.1637,              0.0002575,              0.0002575,              0.0002575
                     77,                0.78505,                  1.984,                 1.0331,                0.51394,                0.23333,                0.08511,                0.02202,                 2.4146,                 5.3127,                 2.1714,              0.0002476,              0.0002476,              0.0002476
